Prg TRTbl Name,CRF ID,Description,CRF Change Type,SR No,Status,SR Assigned to,CRF Logged date,Implementation by BASIS Team,CRF Closer Date,CR Status,CRF Initiator,Assigned Executive User Name,Master Data General Configuration,Assigned Work Group Name,Owner Work Group Name,Information,Pre Migration Approved 2,Pre Migration Approved 2 Time,Pre Migration Approved 3,Pre Migration Approved 3 Time,Level 3 Approved By Name,Level 3 Approval Date,Level 4 Approved By Name,Level 4 Approval Date
Pls find the attached TRs list (Total-21 TRs) and move the same in SAP production.,4349,SAP HR:- Enhancement in Special leaves balance should be display in the leave card of associates.,Normal,70131,Resolved,Sarvada Kamble,2024-06-25 09:11:43.393,2025-08-04 20:51:35.827,2025-08-04 20:51:35.827,Implementation Review Closed,Nikki .,Amit Kumar,No,IT Support (Enterprise Platform),IT Support (SAP FI and HR),Special leaves balance should be display in the leave card of associates.,"Amit Taneja,Goji Sugita,Ashish Dogra,Amarjeet Singh","Apr 30 2025 7:37AM,Apr 30 2025 6:18AM,May 1 2025 3:53AM,Apr 30 2025 3:43AM",Bhasker Chhabra,May 1 2025 1:35PM,,,,
TR Number SDVK965275 SDVK965273,5747,"As part of SAP Position based Role Redesign, Manual Role creation is required in SAP ECC for Operation Finance. Enclosed is the approval Note from Management. Below is the TR list: - TR Number SDVK965275 SDVK965273 SDVK965361",Normal,91114,Resolved,Rita .,2025-02-27 17:28:39.763,2025-08-25 15:12:31.503,2025-08-25 15:12:31.503,Implementation Review Closed,Rita .,Amit Kumar,No,IT Support (Enterprise Platform),IT Support (SAP GRC),"As part of SAP Position based Role Redesign, Manual Role creation is required in SAP ECC for Operation Finance. Enclosed is the approval Note from Management.","Vimal Kumar Bansal,Goji Sugita,Ashish Dogra,Amit Taneja,Amarjeet Singh,Mosharraf Imam","Aug 22 2025 8:17AM,Aug 22 2025 6:06AM,Aug 22 2025 9:03AM,Aug 22 2025 6:37AM,Aug 22 2025 10:09AM,Aug 22 2025 8:15AM",Bhasker Chhabra,Aug 22 2025 10:28AM,,,,
,5978,"Need to create communication ID in GRC for SF integration, and cloud connector for GRC host to be setup , and also make new HTTP port for make connection with CPI . SAP CPI need to connect with On-prem GRC as well as use SAP Connector system with required URL",Normal,94601,Resolved,Rita .,2025-04-04 15:03:09.173,2025-08-04 14:26:56.280,2025-08-04 14:26:56.280,Implementation Review Closed,Rita .,Amit Kumar,No,IT Support (Enterprise Platform),IT Support (SAP GRC),"Need to create communication ID in GRC for SF integration, and cloud connector for GRC host to be setup , and also make new HTTP port for make connection with CPI . SAP CPI need to connect with On-prem GRC as well as use SAP Connector system with required URL","Vimal Kumar Bansal,Ashish Dogra,Amit Taneja,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jun 20 2025 7:55AM,Jun 20 2025 5:21AM,Jun 19 2025 12:30PM,Jun 20 2025 6:43AM,Jun 20 2025 6:47AM,Jun 20 2025 7:36AM",Bhasker Chhabra,Jun 23 2025 5:28AM,,,,
317 318 319 320 326 327 328 329 330,5994,"ALC: - EV - After Scanning Successful POP Message time need to reduce. Although timing is same for both ICE and EV Scanning, but due to additional validation and table involvement system is taking time. So need to reduce the POP UP display timings during EV scanning.",Normal,92172,Resolved,Tilak Raj .,2025-04-07 16:44:32.907,2025-08-26 11:49:07.290,2025-08-26 11:49:07.290,Implementation Review Closed,Tilak Raj .,DataCenter,No,IT Support (Infra),IT Support (ALC),Request Details : EV - After Scanning Return to Home position more time. Please change time same as ICE Model.,"Akhilesh Kumar Gupta,Amish Hasan,Amit Taneja,Ashish Dogra,Avinash Singh,Amarjeet Singh,Debarshi Raj Dutta,Mosharraf Imam,Goji Sugita","Jul 23 2025 9:35AM,Jun 30 2025 10:26AM,Jun 27 2025 9:17AM,Jun 27 2025 8:36AM,Jul 1 2025 4:21AM,Jun 27 2025 11:24AM,Jun 28 2025 5:37AM,Jun 27 2025 8:04AM,Jun 27 2025 7:23AM",Bhasker Chhabra,Jul 23 2025 1:12PM,,,,
54,5996,"ALC: - As per requirement from Philippines, Case part list required in excel format against the packed lot. So, need to develop the provision according to the defined format.",Normal,92644,Resolved,Tilak Raj .,2025-04-07 16:58:56.950,2025-08-26 11:46:43.183,2025-08-26 11:46:43.183,Implementation Review Closed,Tilak Raj .,DataCenter,No,IT Support (Infra),IT Support (ALC),User Request detail: - Request for case part list generation in excel format for CKD shipments.,"Akhilesh Kumar Gupta,Amish Hasan,Amit Taneja,Ashish Dogra,Avinash Singh,Amarjeet Singh,Debarshi Raj Dutta,Mosharraf Imam,Goji Sugita","May 22 2025 10:41AM,May 22 2025 6:11AM,May 21 2025 6:30AM,May 21 2025 10:48AM,May 28 2025 4:04AM,May 21 2025 5:19AM,May 21 2025 3:28AM,May 21 2025 3:42AM,May 21 2025 10:46AM",Bhasker Chhabra,May 28 2025 2:03PM,,,,
Change log attached,6055,"ALC: - Currently scanning count is showing as consolidated based on production line. Now, user require to segregate the scanning count based on independent line.",Normal,91549,Resolved,Tilak Raj .,2025-04-11 12:26:10.107,2025-08-25 11:20:18.880,2025-08-25 11:20:18.880,Implementation Review Closed,Tilak Raj .,DataCenter,No,IT Support (Infra),IT Support (ALC),User request Details: While scanning single frame Total count Jump twice or thrice. Need to address this issue.,"Akhilesh Kumar Gupta,Amish Hasan,Amit Taneja,Ashish Dogra,Avinash Singh,Amarjeet Singh,Debarshi Raj Dutta,Mosharraf Imam,Goji Sugita","Jul 23 2025 9:19AM,Jul 18 2025 10:34AM,Jul 17 2025 9:36AM,Jul 17 2025 9:26AM,Jul 21 2025 5:34AM,Jul 17 2025 8:59AM,Jul 17 2025 8:55AM,Jul 17 2025 9:00AM,Jul 17 2025 11:53AM",Bhasker Chhabra,Jul 23 2025 1:12PM,,,,
"Special leave needs to be applied based on quota (like as CL, SL, EL etc.) in Sucess factor (EC) production.",6101,"SAP Successfactor - Special leave needs to be applied based on quota (like as CL, SL, EL etc.) in Sucess factor (EC).",Normal,90975,Resolved,Nikki .,2025-04-17 10:49:44.733,2025-08-27 11:57:34.200,2025-08-27 11:57:34.200,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),"Special leave needs to be applied based on quota (like as CL, SL, EL etc.) in Sucess factor (EC).","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 1 2025 5:59AM,Aug 1 2025 11:38AM,Aug 1 2025 3:47AM,Aug 1 2025 10:42AM,Aug 1 2025 4:53AM",Bhasker Chhabra,Aug 2 2025 5:24AM,,,,
TR : GRDK900828 CR-5185 GRC request status report TOC: GRDK900846 CR 5185 Password Reset Web dynpro TOC,6272,Need to do below changes: 1. One Custom Report for all requests & their approver details 2. Automation of GRC ID Unlock process,Normal,98038,Resolved,Sunidhi Rawat,2025-05-07 14:14:52.253,2025-08-25 15:01:57.607,2025-08-25 15:01:57.607,Implementation Review Closed,Sunidhi Rawat,Amit Kumar,No,IT Support (Enterprise Platform),IT Support (SAP GRC),Need to do below changes: 1. One Custom Report for all requests & their approver details 2. Automation of GRC ID Unlock process,"Vimal Kumar Bansal,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 19 2025 10:32AM,Aug 19 2025 8:34AM,Aug 14 2025 11:30AM,Aug 14 2025 1:08PM,Aug 14 2025 12:03PM",Bhasker Chhabra,Aug 19 2025 1:28PM,,,,
Change log attached,6278,ALC: - Pre delivery inspection data monitoring dashboard on Production Line.,Normal,97139,Resolved,Application Support,2025-05-08 10:29:48.343,2025-08-25 11:28:00.267,2025-08-25 11:28:00.267,Implementation Review Closed,Tilak Raj .,DataCenter,No,IT Support (Infra),IT Support (ALC),Request Details : VQ Line-3 Delivery achievement display (PDI off Live Data Monitoring): Dashboard Implementation.,"Akhilesh Kumar Gupta,Amish Hasan,Amit Taneja,Ashish Dogra,Avinash Singh,Amarjeet Singh,Debarshi Raj Dutta,Mosharraf Imam,Goji Sugita","Jul 18 2025 5:56AM,Jul 18 2025 7:41AM,Jul 17 2025 9:36AM,Jul 17 2025 9:26AM,Jul 21 2025 5:34AM,Jul 17 2025 8:59AM,Jul 17 2025 8:57AM,Jul 17 2025 9:00AM,Jul 17 2025 11:52AM",Bhasker Chhabra,Jul 21 2025 12:54PM,,,,
Changes will be done in SF production.,6351,Successfactor:-Making the 'VPF %age by associate' mandatory at configuration level so that interface will not fail to update the records for users.,Normal,99258,Resolved,Siva Manepalli,2025-05-15 16:08:54.473,2025-08-13 08:52:06.193,2025-08-13 08:52:06.193,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),We checked and found that the interface failed updating the records in VPF portlet since the “VPF Percentage (By Associate)” field had been set as mandatory on the object level in order to make it mandatory for the associates to fill as per our previous enhancements done in SFSF for VPF,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","May 19 2025 5:50AM,May 17 2025 6:19AM,May 17 2025 4:15AM,May 17 2025 5:50AM,May 17 2025 9:06AM",Bhasker Chhabra,May 19 2025 12:23PM,,,,
